subject,swimlane
Filing of CIRP record with IBBI and IPA,16 Monitoring Committee
Formation of Monitoring Committee,16 Monitoring Committee
Application by OC,01 Insolvency Initiation
Application by FC,01 Insolvency Initiation
Claim Submission,11 Claims Management
Claim Collation,11 Claims Management
List of Liabilities,12 Information Memorandum
Details of Assets,12 Information Memorandum
Valuer Appointment,08 Appointment of Professionals
Valuation Report,08 Appointment of Professionals
Appointment of Liquidator,16 Monitoring Committee
Access to Information,12 Information Memorandum
Auction Logs,14 Form G and EOI
Distribution of Funds,16 Monitoring Committee
Authorization of Assignment,00 Preparation
Moratorium,03 Admission & Appointment
Claims Best Practices,11 Claims Management
Application by CD,01 Insolvency Initiation
CIRP Announcement - Form A,05 Public Announcements
CIFTP Announcement - Form A,05 Public Announcements
CILP Announcement - Form B,05 Public Announcements
CIVLP Announcement - Form A,05 Public Announcements
Due Diligence of Corporate Debtor,00 Preparation
Assets Identification,00 Preparation
Appointment as IRP,03 Admission & Appointment
Disclosure of Appointment as IRP-RP,04 Disclosures
Disclosure for Public Announcement,04 Disclosures
Upload Public Announcement to IBBI,04 Disclosures
Add Consent to IBBI,02 Consent
Intimation to Government Authorities,06 Stakeholder Intimations
Filing INC-28,03 Admission & Appointment
Intimation to Financial Creditors & asking to Freeze Bank Accounts,06 Stakeholder Intimations
Intimation to Workmen and Employees,06 Stakeholder Intimations
Intimation to Operational Creditors,06 Stakeholder Intimations
Upload Public Announcement to Website of CD & IPE-IP,05 Public Announcements
Create a process specific Email ID-Website-Investment Teaser,03 Admission & Appointment
Intimation to Suspended Directors-KMPs,06 Stakeholder Intimations
Custody and Control over the Assets of the CD,03 Admission & Appointment
Call for Quotes and Appointment of Security Guards,03 Admission & Appointment
Installation of Security Cameras around the premises of the CD,03 Admission & Appointment
Safe Keeping of Company Records along with Server Backup,03 Admission & Appointment
New GST Registration if required,03 Admission & Appointment
Update of Signatures of IRP-RP or Opening of New Bank Account with Suffix -under CIRP,03 Admission & Appointment
hold the 1st CoC Meeting,09 Ist COC Meeting
Ratification of Fees of IRP,09 Ist COC Meeting
Ratification of Expenses Incurred,09 Ist COC Meeting
Approval on Appointment of Legal Professionals along with other professionals,09 Ist COC Meeting
Discussion of Claims received,09 Ist COC Meeting
Ratification of Public Announcement Cost,09 Ist COC Meeting
Ratification of Expenses of Security Guards,09 Ist COC Meeting
Approval for blanket Approval for incurring Expenses to keep CD as going concern upto certain limit,09 Ist COC Meeting
Approval for Exclusion Application in case of delay in upload of order or receipt of certified copy of the order,09 Ist COC Meeting
Call for Quotations for Public Announcement,03 Admission & Appointment
Access Records of CD on IU,00 Preparation
Ratification-Approval on Filing of Report on Constitution of CoC,09 Ist COC Meeting
Intimation to Shareholders,06 Stakeholder Intimations
Intimation to Homebuyers in case of Real Estate Matter,06 Stakeholder Intimations
Intimation to nearest Police Station to the premises of CD,06 Stakeholder Intimations
Follow-up for additional Documents for Claim Verification,11 Claims Management
Closure Form IBBI,00 Preparation
